"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"13114","TOKYO_NAKANOKU_001",,,,,"東京都中野区",,,,,,"中部すこやか福祉センター","ちゅうぶすこやかふくしせんたー",,"東京都中野区","中央3丁目19番1号","03-3367-7788","03-3367-7811",,"35.7003729695231,139.67420678233",,,,,,,,
"13114","TOKYO_NAKANOKU_002",,,,,"東京都中野区",,,,,,"北部すこやか福祉センター","ほくぶすこやかふくしせんたー",,"東京都中野区","江古田4丁目31番10号","03-3389-4323",,,"35.7246492439286,139.661481744202",,,,,,,,
"13114","TOKYO_NAKANOKU_003",,,,,"東京都中野区",,,,,,"南部すこやか福祉センター","なんぶすこやかふくしせんたー",,"東京都中野区","弥生町5丁目11番26号","03-3380-5551",,,"35.6881107502144,139.66850453217",,,,,,,,
"13114","TOKYO_NAKANOKU_004",,,,,"東京都中野区",,,,,,"鷺宮すこやか福祉センター","さぎみやすこやかふくしせんたー",,"東京都中野区","若宮3丁目58番10号","03-3336-7111",,,"35.7220213652961,139.640059862906",,,,,,,,
"13114","TOKYO_NAKANOKU_005",,"社会福祉法人南東北福祉事業団","みなみとうほくふくしじぎょうだん","8380005002533","福島県郡山市","日和田町梅沢字丹波山3-2",,,"https://www.kaigo-egota.com/","施設入所支援","障害者支援施設江古田の森","しょうがいしゃしえんしせつえごたのもり","1311400707","東京都中野区","江古田3-14-19","03-5318-3711","03-5318-3712",,35.7296724351044,139.66539139332,,,,,,,"40"
"13114","TOKYO_NAKANOKU_006",,"社会福祉法人愛成会","あいせいかい","7011205000224","東京都中野区","中野5丁目26番18号","03-3387-0082","03-3387-0820","http://www.aisei.or.jp/","施設入所支援","メイプルガーデン","めいぷるがーでん","1311400038","東京都中野区","中野五丁目26番18号","03-3387-0262","03-5942-7061",,35.7089825182348,139.668811166109,,,,,,,"60"
"13114","TOKYO_NAKANOKU_007",,,,,"東京都中野区",,,,,"短期入所","中野江原短期入所",,"1311401654","東京都中野区","江原町三丁目23番2号","03-5988-7619","03-5988-7629",,35.7327203186343,139.673990075078,,,,,,,"2"
"13114","TOKYO_NAKANOKU_008",,"特定非営利活動法人リトルポケット","りとるぽけっと","3011205001481","東京都中野区","東中野4丁目2番2号 篠木ビル2階","03-3360-3517",,,"就労継続支援B型","中野区東部福祉作業センター","なかのくとうぶふくしさぎょうせんたー",,"東京都中野区","中央二丁目22番10号101","03-3366-2940","03-3366-2945","https://www.city.tokyo-nakano.lg.jp/shisetsu/shogai/tsuusyo/toubufukushi.html",35.7008192144357,139.680953834181,,,,,,,
"13114","TOKYO_NAKANOKU_009",,"特定非営利活動法人リトルポケット","りとるぽけっと","3011205001481","東京都中野区","東中野4丁目2番2号 篠木ビル2階","03-3360-3517","03-3360-3587",,"就労継続支援B型","あとりえふぁんとむ","あとりえふぁんとむ","1311401184","東京都中野区","東中野四丁目2番2号 篠木ビル2･3階","03-3360-3517","03-3360-3587",,35.7065371930994,139.685578982528,,,,,,,"20"
"13114","TOKYO_NAKANOKU_010",,"特定非営利活動法人すばる会","すばるかい","9011205001393","東京都中野区","若宮1丁目54番15号",,,,"就労継続支援B型","すばるカンパニー","すばるかんぱにー",,"東京都中野区","若宮一丁目54番15号","03-3339-6541","03-3339-3811",,35.7199904524076,139.650499976286,,,,,,,"32"
"13114","TOKYO_NAKANOKU_011",,"社会福祉法人東京コロニー","とうきょうころにー","6011205000217","東京都中野区","江原町2丁目6番7号","03-3952-6166","03-3952-6664","https://www.tocolo.or.jp/","就労継続支援B型","コロニー中野","ころにーなかの","1311400715","東京都中野区","江原町二丁目6番7号","03-3953-3541","03-3565-0471","https://colony.gr.jp/colonynakano/",35.729114956335,139.668302387919,,,,,,,"56"
"13114","TOKYO_NAKANOKU_012",,"社会福祉法人中野あいいく会","なかのあいいくかい","6011205001207","東京都中野区","中野1丁目6番12号",,,"https://www.aiikukai.or.jp/","生活介護","杉の子城山","すぎのこしろやま",,"東京都中野区","中野一丁目6番12号","03-3366-0066","03-3366-7662","https://www.city.tokyo-nakano.lg.jp/shisetsu/shogai/tsuusyo/suginokoshiroyama.html",35.7071825125643,139.672499933839,,,,,,,
"13114","TOKYO_NAKANOKU_013",,"社会福祉法人中野あいいく会","なかのあいいくかい","6011205001207","東京都中野区","中野1丁目6番12号",,,"https://www.aiikukai.or.jp/","生活介護","杉の子大和","すぎのこやまと",,"東京都中野区","大和町三丁目18番2号","03-3339-6541","03-3339-6542","https://www.city.tokyo-nakano.lg.jp/shisetsu/shogai/tsuusyo/suginokoyamato.html",35.7197609833024,139.658949871695,,,,,,,
"13114","TOKYO_NAKANOKU_014",,"社会福祉法人中野あいいく会","なかのあいいくかい","6011205001207","東京都中野区","中野1丁目6番12号",,,"https://www.aiikukai.or.jp/",,"療育センターアポロ園","りょういくせんたーあぽろえん",,"東京都中野区","江古田4-43-25","03-3389-3700",,"https://www.city.tokyo-nakano.lg.jp/shisetsu/jidou/aiiku/aporo.html",35.7253184293397,139.659472384704,,,,,,,
"13114","TOKYO_NAKANOKU_015",,"社会福祉法人中野あいいく会","なかのあいいくかい","6011205001207","東京都中野区","中野1丁目6番12号",,,"https://www.aiikukai.or.jp/",,"子ども発達センターたんぽぽ","こどもはったつせんたーたんぽぽ",,"東京都中野区","丸山1-17-2","03-5943-7883",,"https://www.city.tokyo-nakano.lg.jp/shisetsu/jidou/tanpopo.html",35.7255903461187,139.657766184262,,,,,,,
"13114","TOKYO_NAKANOKU_016",,"社会福祉法人中野あいいく会","なかのあいいくかい","6011205001207","東京都中野区","中野1丁目6番12号",,,"https://www.aiikukai.or.jp/","放課後等デイサービス"," ""放課後ディサービスセンターみずいろ""","ほうかごでぃさーびすせんたーみずいろ",,"東京都中野区","丸山1-17-2","03-3388-5777",,"https://www.city.tokyo-nakano.lg.jp/shisetsu/jidou/aiiku/mizuiro.html",35.7255903461187,139.657766184262,,,,,,,
"13114","TOKYO_NAKANOKU_017",,"社会福祉法人中野あいいく会","なかのあいいくかい","6011205001207","東京都中野区","中野1丁目6番12号",,,"https://www.aiikukai.or.jp/",," ""療育センターゆめなりあ""","りょういくせんたーゆめなりあ",,"東京都中野区","弥生町5-5-2","03-6382-4781",,"https://www.city.tokyo-nakano.lg.jp/shisetsu/jidou/aiiku/yumenaria.html",35.6861567510087,139.666354101205,,,,,,,
"13114","TOKYO_NAKANOKU_018",,"社会福祉法人東京都手をつなぐ育成会","とうきょうとてをつなぐいくせいかい","6011105000985","東京都新宿区","西新宿7丁目8番10号",,,"https://nakanoshoukan.ikuseikai-tky.or.jp/","生活介護","障害者福祉会館","しょうがいしゃふくしかいかん",,"東京都中野区","沼袋2-40-18","03-3389-2171","03-3389-2175","https://www.city.tokyo-nakano.lg.jp/shisetsu/shogai/tsuusyo/syougaisya-fukushi.html",35.7236111514129,139.663046943301,"月〜金 9:30-15:30",,,,"土・日・祝・年末年始（12/29-1/3）","施設利用時間は9:00-22:00（第3月曜・年末年始は休館）","24"
"13114","TOKYO_NAKANOKU_019",,"社会福祉法人東京都手をつなぐ育成会","とうきょうとてをつなぐいくせいかい","6011105000985","東京都新宿区","西新宿7丁目8番10号",,,,"生活介護","かみさぎこぶし園","かみさぎこぶしえん",,"東京都中野区","上鷺宮1-21-30","03-5241-8121",,"https://kamisagi.ikuseikai-tky.or.jp/",35.7298961545933,139.636058495268,"月〜金 9:30-15:30",,,,"土・日・祝・年末年始",,"45"
