"No","名称","名称_カナ","住所","方書","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","URL","備考","フォルダパス","添付ファイル","経度","緯度","分類"
"1","上鷺宮三丁目アパート","カミサギノミヤサンチョウメアパート","中野区上鷺宮3-14","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/上鷺宮三丁目アパート/上鷺宮三丁目アパート.jpg","139.633551203463","35.7342519766002","区営住宅・福祉住宅"
"2","鷺宮六丁目アパート","サギノミヤロクチョウメアパート","中野区鷺宮6-14","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/鷺宮六丁目アパート/鷺宮六丁目アパート.JPG","139.629847148691","35.7251255615475","区営住宅・福祉住宅"
"3","弥生町三丁目アパート","ヤヨイチョウサンチョウメアパート","中野区弥生町3-35","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/弥生町三丁目アパート/弥生町三丁目アパート.JPG","139.674090324043","35.6894306381984","区営住宅・福祉住宅"
"4","弥生町五丁目アパート","ヤヨイチョウゴチョウメアパート","中野区弥生町5-9","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/弥生町五丁目アパート/弥生町五丁目アパート.JPG","139.665565484439","35.6878955648479","区営住宅・福祉住宅"
"5","南台三丁目アパート","ミナミダイサンチョウメアパート","中野区南台3-26","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/南台三丁目アパート/南台三丁目アパート.jpg","139.666097097591","35.6851539448717","区営住宅・福祉住宅"
"6","野方一丁目アパート","ノガタイッチョウメアパート","中野区野方1-10","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/野方一丁目アパート/野方一丁目アパート.JPG","139.659376920304","35.7124973786347","区営住宅・福祉住宅"
"7","江古田二丁目アパート","エゴタニチョウメアパート","中野区江古田2-21","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/江古田二丁目アパート/江古田二丁目アパート.JPG","139.664539849596","35.7261811146708","区営住宅・福祉住宅"
"8","野方六丁目アパート","ノガタロクチョウメアパート","中野区野方6-35","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/野方六丁目アパート/野方六丁目アパート.JPG","139.650160439516","35.7212915965442","区営住宅・福祉住宅"
"9","江原町二丁目アパート","エハラチョウニチョウメアパート","中野区江原町2-9","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/江原町二丁目アパート/江原町二丁目アパート.JPG","139.66979410782","35.7292826376696","区営住宅・福祉住宅"
"10","江原町アパート","エハラチョウアパート","中野区江原町2-7","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/江原町アパート/江原町アパート.JPG","139.668440798779","35.7294056967579","区営住宅・福祉住宅"
"11","沼袋三丁目アパート","ヌマブクロサンチョウメアパート","中野区沼袋3-23","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/沼袋三丁目アパート/沼袋三丁目アパート.JPG","139.659358828566","35.7190587963189","区営住宅・福祉住宅"
"12","新井住宅","アライジュウタク","中野区新井4-30","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/新井住宅/新井住宅.JPG","139.66512826018","35.7178398422416","区営住宅・福祉住宅"
"13","江古田四丁目アパート","エゴタヨンチョウメアパート","中野区江古田4-10","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/江古田四丁目アパート/江古田四丁目アパート.JPG","139.664396562964","35.7249356037523","区営住宅・福祉住宅"
"14","江古田一丁目アパート","エゴタイッチョウメアパート","中野区江古田1-34","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/江古田一丁目アパート/江古田一丁目アパート.JPG","139.671712815419","35.7253253057684","区営住宅・福祉住宅"
"15","高齢者福祉住宅　ふじみ苑","コウレイシャフクシジュウタク　フジミエン","中野区弥生町5-2-19","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/ふじみ苑/ふじみ苑.JPG","139.668221334269","35.686936717261","区営住宅・福祉住宅"
"16","高齢者福祉住宅　シティライフ東中野","コウレイシャフクシジュウタク　シティライフヒガシナカノ","中野区東中野4-7-9","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/シティライフ東中野/シティライフ東中野.JPG","139.68408319456","35.7077323264388","区営住宅・福祉住宅"
"17","高齢者福祉住宅　エーデル城山","コウレイシャフクシジュウタク　エーデルシロヤマ","中野区中野1-21-8","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/エーデル城山/エーデル城山.JPG","139.676571995937","35.7032672199523","区営住宅・福祉住宅"
"18","高齢者福祉住宅　サンエスピア","コウレイシャフクシジュウタク　サンエスピア","中野区江古田2-12-13","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/サンエスピア/サンエスピア.JPG","139.667622969224","35.7260974450459","区営住宅・福祉住宅"
"19","高齢者福祉住宅　アコードガーデン","コウレイシャフクシジュウタク　アコードガーデン","中野区上高田1-38-5","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/アコードガーデン/アコードガーデン.JPG","139.673551606489","35.7106058419926","区営住宅・福祉住宅"
"20","高齢者福祉住宅　シルバーピア大三","コウレイシャフクシジュウタク　シルバーピアダイサン","中野区中央5-31-7","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/シルバーピア大三/シルバーピア大三.JPG","139.66491358393","35.7001732560197","区営住宅・福祉住宅"
"21","高齢者福祉住宅　のがた苑","コウレイシャフクシジュウタク　ノガタエン","中野区野方6-53-8","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/のがた苑/のがた苑.JPG","139.649424442281","35.7236365182801","区営住宅・福祉住宅"
"22","障害者福祉住宅　昴館","ショウガイシャフクシジュウタク　スバルカン","中野区白鷺1-1-4","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/昴館/昴館.JPG","139.640322302624","35.7156269962056","区営住宅・福祉住宅"
"23","障害者・高齢者福祉住宅　第二昴館　","ショウガイシャ・コウレイシャフクシジュウタク　ダイニスバルカン","中野区白鷺1-7-16","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_住宅課/第二昴館/第二昴館.JPG","139.6375022266","35.7172239661293","区営住宅・福祉住宅"
