"No","名称","名称かな","所在地","TEL","FAX","URL","EMAIL","アクセス方法","開館時間","詳細情報","経度","緯度","分類"
"1","中野区東部福祉作業センター","なかのくとうぶふくしさぎょうせんたー","中野区中央二丁目22番10号101","03-3366-2940","03-3366-2945","","","","","","139.680953834181","35.7008192144357","日中活動_通所施設"
"2","あとりえふぁんとむ","あとりえふぁんとむ","中野区東中野四丁目2番2号篠木ビル2･3階","03-3360-3517","03-3360-3587","","","","","","139.685578982528","35.7065371930994","日中活動_通所施設"
"3","すばるカンパニー","すばるかんぱにー","中野区若宮一丁目54番15号","03-3339-6541","03-3339-3811","","","","","","139.650499976286","35.7199904524076","日中活動_通所施設"
"4","コロニー中野","ころにーなかの","中野区江原町二丁目6番7号","03-3953-3541","03-3565-0471","","","","","","139.668302387919","35.729114956335","日中活動_通所施設"
"5","ふらっとなかの","ふらっとなかの","中野区本町五丁目40番14号","03-6805-6580","03-6805-6581","","","","","","139.668156049847","35.6918255817162","日中活動_通所施設"
"6","障害者福祉会館","しょうがいしゃふくしかいかん","中野区沼袋二丁目40番18号","03-3389-2171","03-3389-2175","","","","","","139.663046943301","35.7236111514129","日中活動_通所施設"
"7","カサ　デ　オリーバ","かさ　で　おりーば","中野区本町五丁目35番9号","03-5340-8898","03-5340-8898","","","","","","139.668415873445","35.6936301467938","日中活動_通所施設"
"8","盲人自立センター陽光園","もうじんじりつせんたーようこうえん","中野二丁目29番15号 サンハイツ中野208号室","03-3383-2424","","","","","","","139.665847932111","35.7037307984325","日中活動_通所施設"
"9","かみさぎこぶし園","かみさぎこぶしえん","中野区上鷺宮一丁目21番30号","03-5241-8121","03-5241-8123","","","","","","139.636058495268","35.7298961545933","日中活動_通所施設"
"10","弥生福祉作業所","やよいふくしさぎょうしょ","中野区弥生町四丁目36番15号","03-3384-2939","03-3384-2896","","","","","","139.670904898339","35.689727869934","日中活動_通所施設"
"11","杉の子 城山","すぎのこしろやま","中野区中野一丁目6番12号","03-3364-5381","03-3364-5381","","","","","","139.678028363717","35.7020421619504","日中活動_通所施設"
"12","杉の子 弥生","すぎのこやよい","中野区弥生町二丁目5番11号","03-3373-1236","03-3373-1236","","","","","","139.676418559658","35.6918533917348","日中活動_通所施設"
"13","杉の子 大和","すぎのこやまと","中野区野方一丁目35番8号","03-3389-6313","03-3389-6313","","","","","令和７年５月まで代替施設で事業運営","139.656618667611","35.7092850644643","日中活動_通所施設"
"14","杉の子 丸山","すぎのこまるやま","中野区丸山一丁目4番5号","03-3385-8565","03-3385-8565","","","","","","139.655958036654","35.7230954766475","日中活動_通所施設"
"15","仲町就労支援事業所","なかちょうしゅうろうしえんじぎょうしょ","中野区中央三丁目19番1号","03-3360-1571","03-3360-1573","","","","","","139.673965090855","35.7003557486489","日中活動_通所施設"
"17","就労支援センター　ステッツ中野","しゅうろうしえんせんたーすてっつなかの","中野区中野四丁目7番1号 野口ビル3階","03-5942-8931","03-5942-8932","","","","","","139.663500273216","35.7097008061699","日中活動_通所施設"
"18","にじ中野坂上","にじなかのさかうえ","中野区本町二丁目45番13号 山手ビル6階","03-6276-8663","03-6276-8664","","","","","","139.682394093803","35.6958981136371","日中活動_通所施設"
"19","子ども発達センターたんぽぽ","こどもはったつセンターたんぽぽ","中野区丸山一丁目17番2号","03-5343-7883","03-5343-7893","","","","","","139.657550273069","35.7257545300008","日中活動_通所施設"
"20","放課後デイサービスセンターみずいろ","ほうかごデイサービスセンターみずいろ","中野区丸山一丁目17番2号","03-3388-5777","03-3388-5777","","","","","","139.657320877256","35.725767714827","日中活動_通所施設"
"21","療育センターゆめなりあ","りょういくせんたーゆめなりあ","中野区弥生町五丁目5番2号","03-6382-4781","03-6382-4782","","","","","","139.666437180418","35.6860532085544","日中活動_通所施設"
"22","障害者支援施設江古田の森","しょうがいしゃしえんしせつえこだのもり","中野区江古田3-14-19","03-5318-3711","03-5318-3712","","","","","","139.665384254357","35.7296746376641","日中活動_通所施設"
"23","コロニーもみじやま支援センター","ころにーもみじやましえんせんたー","中野区中野5-3-32","03-5318-9952","03-5318-9953","","","","","","139.672325543164","35.708057219641","日中活動_通所施設"
"24","リニエワークステーション中野","りにえわーくすてーしょんなかの","中野区野方4-19-1グランデ634","03-5937-0483","03-5937-0484","","","","","","139.65402132095","35.7195716898922","日中活動_通所施設"
"25","ワクわーく","わくわーく","中野区白鷺1-30-6深澤ビル4階","03-5356-7371","03-5356-7372","","","","","","139.637377899515","35.7215104462828","日中活動_通所施設"
"26","ディーキャリアITエキスパート　中野オフィス","でぃーキャリアあいてぃえきすぱーとなかのおふぃす","中野区中野四丁目7番2号SHビル3階","03-6454-0427","","","","","","","139.663505563066","35.7095513294059","日中活動_通所施設"
"27","翔和学園大学部（自立訓練）・ワークセンター翔和","しょうわがくえんだいがくぶじりつくんれん・わーくせんたーしょうわ","中野区中央1-38-1アクロスシティ中野坂上ビル","03-5338-0338","03-3365-5401","","","","","","139.683534418317","35.6973888940055","日中活動_通所施設"
"28","ワーカライズ　ニコ","わーからいず　にこ","中野区新井2-8-13","03-3388-2941","03-3388-2942","","","","","","139.664799751791","35.7121645125504","日中活動_通所施設"
"29","Su-Clu-Lab Terrace","さくらぼてらす","中野区東中野2-11-14","03-6279-3870","03-6279-3873","","","","","","139.679031139778","35.7025074207365","日中活動_通所施設"
"30","療育センターアポロ園","りょういくせんたーあぽろえん","中野区江古田四丁目43番25号","03-3389-3700","03-3389-3760","","","","","","139.659487397948","35.7253371075341","日中活動_通所施設"
